type,id,lat,lon,name
14,N349537040,43.1947213,-88.7231584,Watertown Post Office
14,N349537068,43.2472135,-89.3440055,De Forest Post Office
14,N349537076,43.4244442,-88.1839833,West Bend Post Office
14,N349537089,43.3197935,-88.377289,Hartford Post Office
14,N349537102,44.9377388,-91.3934904,Chippewa Falls Post Office
14,N349537114,42.9168595,-89.2184871,Stoughton Post Office
14,N349537130,42.9266557,-89.382062,Oregon Post Office
14,N349537157,43.5383193,-89.0073333,Randolph Post Office
14,N349537188,43.5383163,-89.3003952,Pardeeville Post Office
14,N349537202,44.9610769,-90.9379179,Stanley Post Office
14,N349537216,43.8132997,-91.2495813,La Crosse Post Office
14,N349537227,45.7871707,-92.3832508,Siren Post Office
14,N349537241,45.7796751,-92.6821484,Grantsburg Post Office
14,N349537269,44.0394263,-88.7439994,Omro Post Office
14,N349537283,44.0155917,-88.5362113,Oshkosh Post Office
14,N349537298,43.9674809,-88.9476145,Berlin Post Office
14,N349537310,45.8710642,-89.7115363,Minocqua Post Office
14,N349537332,43.8974656,-91.0809687,West Salem Post Office
14,N349537349,44.202197,-88.4464955,Menasha Post Office
14,N349537363,44.184986,-88.4634423,Neenah Post Office
14,N349537382,45.0680226,-89.9254086,Hamburg Post Office
14,N349537394,44.8896906,-89.6217885,Rothschild Post Office
14,N349537409,44.956913,-89.6284555,Wausau Post Office
14,N349537421,44.2939935,-90.8487548,Black River Falls Post Office
14,N349537432,45.636345,-89.4145754,Rhinelander Post Office
14,N349537442,44.8741583,-88.1423242,Oconto Falls Post Office
14,N349537457,45.0269126,-89.6534564,Brokaw Post Office
14,N349537465,43.9127707,-88.0387071,Kiel Post Office
14,N349537474,43.6344329,-88.7295519,Waupun Post Office
14,N349537486,44.1497178,-87.5689701,Two Rivers Post Office
14,N349537502,44.0908701,-87.6638201,Manitowoc Post Office
14,N349537517,45.0525428,-87.749404,Peshtigo Post Office
14,N349537535,45.0991517,-87.6337178,Marinette Post Office
14,N349537595,44.679683,-91.1212645,Augusta Post Office
14,N349537667,43.9990401,-90.5059983,Tomah Post Office
14,N349537686,43.9441986,-90.811955,Sparta Post Office
14,N349537700,46.6677183,-92.1046356,South Superior Post Office
14,N349537716,43.051095,-91.1459627,Prairie du Chien Post Office
14,N349537735,44.3431629,-89.8598972,Port Edwards Post Office
14,N349537771,44.6663524,-90.176521,Marshfield Post Office
14,N349537787,44.3149644,-89.9045714,Nekoosa Post Office
14,N349537806,43.2716768,-89.7217422,Sauk City Post Office
14,N349537835,43.2905442,-89.7229005,Prairie du Sac Post Office
14,N349537850,43.5338697,-90.0084592,Reedsburg Post Office
14,N349537864,43.057233600000004,-88.1281459,Brookfield Post Office
14,N349537880,43.1050105,-88.0670338,Butler Post Office
14,N349537905,42.5775202,-87.8384082,West Side Station Kenosha Post Office
14,N349537918,44.2722093,-88.3303841,Kimberly Post Office
14,N349537930,44.2791539,-88.3153839,Little Chute Post Office
14,N349537971,43.4958277,-88.5456572,Mayville Post Office
14,N349537985,43.4066615,-88.7009369,Juneau Post Office
14,N349537995,44.3558125,-89.0851132,Waupaca Post Office
14,N349538020,44.6230349,-88.7598228,Clintonville Post Office
14,N349538034,43.110562,-88.4995436,Oconomowoc Post Office
14,N349538048,43.0983415,-88.3487067,Hartland Post Office
14,N349538075,44.2658205,-88.3137174,Combined Locks Post Office
14,N349538091,44.2645846,-88.4112887,Appleton Post Office
14,N349538106,42.8332879,-88.7330479,Whitewater Post Office
14,N349538119,42.5914058,-88.4334301,Lake Geneva Post Office
14,N349538130,42.6719593,-88.5420446,Elkhorn Post Office
14,N349538145,42.633348,-88.6439916,Delavan Post Office
14,N349538160,42.6891851,-88.0523064,Union Grove Post Office
14,N349538175,43.0169583,-88.0056427,West Allis Post Office
14,N349538191,43.0675126,-87.9289746,Teutonia Station Milwaukee Post Office
14,N349538223,43.0677901,-87.9825871,Western Station Milwaukee Post Office
14,N349538238,44.5136035,-88.0134372,Green Bay Post Office
14,N349538254,43.2235376,-90.2932011,Gotham Post Office
14,N349538269,43.0483464,-87.9570306,Mid City Station Milwaukee Post Office
14,N349538281,45.4641342,-91.1029247,Ladysmith Post Office
14,N349538301,42.9397377,-87.9967525,Greendale Post Office
14,N349538318,43.0475132,-87.9273076,Hilltop Station Milwaukee Post Office
14,N349538325,43.016958700000004,-87.9264738,Harbor Station Milwaukee Post Office
14,N349538333,42.9091833,-87.8611922,South Milwaukee Post Office
14,N349538345,43.0091786,-88.2242589,Waukesha Post Office
14,N349538367,42.9880556,-87.8888889,Bay View Saint Francis Station Milwaukee Post Office
14,N349538378,43.0669425,-87.9136196,Doctor Martin Luther King Junior Station Milwaukee Post Office
14,N349538389,43.1186111,-88.0263889,Fred John Station Milwaukee Post Office
14,N349538398,42.9652778,-88.005,Greenfield Branch Milwaukee Post Office
14,N349538407,42.9454875,-88.0469228,Hales Corners Post Office
14,N349538416,43.1027778,-87.9930556,Hampton Station Milwaukee Post Office
14,N349538426,43.1261111,-87.9522222,North Milwaukee Station Milwaukee Post Office
14,N349538434,45.7424556,-91.476552,Edgewater Post Office
14,N349538444,45.591142,-91.6008786,Mikana Post Office
14,N349538481,45.6082872,-91.7760041,Haugen Post Office
14,N349538494,45.6044,-91.6729456,Brill Post Office
14,N349538506,45.4085695,-91.745448,Cameron Post Office
14,N349538521,45.3999582,-91.8515627,Barron Post Office
14,N349538532,43.0838889,-88.2527778,Pewaukee Post Office
14,N349538546,43.0975,-88.4033333,Nashotah Post Office
14,N349538561,43.1486111,-88.1641667,Lannon Post Office
14,N349538575,43.0419816,-88.0789138,Elm Grove Main Post Office
14,N349538591,43.1316667,-88.2158333,Sussex Post Office
14,N349538607,43.089459,-87.8891283,Shorewood Branch Milwaukee Post Office
14,N349538623,43.1775,-87.9927778,Sequoia Station Milwaukee Post Office
14,N349538638,43.0888889,-87.9572222,Parklawn Station Milwaukee Post Office
14,N349538658,43.0175,-88.4730556,Dousman Post Office
14,N349538687,43.0732668,-89.38159,Robert M La Follette Senior Post Office Building
14,N349538704,42.9516667,-87.9477778,Tuckaway Branch Milwaukee Post Office
14,N349562371,48.142408,-92.5204377,Buyck Post Office
14,N349562387,47.6541059,-92.422451,Florenton Post Office
14,N349562402,47.3632695,-93.1785306,Cooley Post Office
14,N349562415,46.6731867,-94.1080514,Crosslake Post Office
14,N349562430,46.7382939,-94.0510885,Fifty Lakes Post Office
14,N349562480,47.6407568,-92.5251787,Britt Post Office
14,N349562495,45.4435765,-93.5932956,Zimmerman Post Office
14,N349562514,43.6196805,-94.9869356,Jackson Post Office
14,N349562531,43.8266246,-95.1974943,Wilder Post Office
14,N349562548,43.6791259,-95.172217,Lakefield Post Office
14,N349562562,43.739404,-95.3158321,Okabena Post Office
14,N349562574,43.794126,-95.3191651,Heron Lake Post Office
14,N349562605,43.7649649,-95.8277927,Wilmont Post Office
14,N349562623,43.6228813,-95.6001307,Worthington Post Office
14,N349562636,43.5405195,-95.4683381,Round Lake Post Office
14,N349562654,43.6187644,-95.8013894,Rushmore Post Office
14,N349562670,43.7494104,-95.9475185,Lismore Post Office
14,N349562687,43.518023,-96.0178004,Ellsworth Post Office
14,N349562699,43.8338555,-96.0136319,Leota Post Office
14,N349562714,43.505243,-95.6900136,Bigelow Post Office
14,N349562722,43.6347396,-95.9333896,Adrian Post Office
14,N349562735,43.8469059,-95.4669479,Dundee Post Office
14,N349562745,43.6977397,-95.4686153,Brewster Post Office
14,N349562759,43.5755363,-96.0944552,Kanaranzi Post Office
14,N349562773,43.6454788,-96.0804046,Magnolia Post Office
14,N349562784,43.7535396,-96.0724568,Kenneth Post Office
14,N349562797,43.6554357,-96.204939,Luverne Post Office
14,N349562815,43.5280135,-96.358769,Hills Post Office
14,N349562830,43.6139908,-96.3644485,Beaver Creek Post Office
14,N349562844,43.7674552,-94.1663504,Winnebago Post Office
14,N349562854,43.7747905,-96.1992177,Hardwick Post Office
14,N349562881,43.5846771,-93.9238421,Frost Post Office
14,N349562888,43.5360651,-93.7124441,Kiester Post Office
14,N349562900,43.841892,-93.832178,Minnesota Lake Post Office
14,N349562915,43.7443993,-93.7260581,Wells Post Office
14,N349562930,43.5624543,-93.8116153,Bricelyn Post Office
14,N349562942,43.7677329,-94.0196788,Delavan Post Office
14,N349562957,43.7657885,-93.9010639,Easton Post Office
14,N349562974,43.5044,-94.0852374,Elmore Post Office
14,N349562988,43.6057878,-93.6732767,Walters Post Office
14,N349563003,43.6393994,-94.1019044,Blue Earth Post Office
14,N349563019,43.7316215,-94.2374644,Huntley Post Office
14,N349563035,43.6671321,-94.6193629,Welcome Post Office
14,N349563053,43.8277341,-94.4371904,Truman Post Office
14,N349563081,43.5332894,-94.6322017,Ceylon Post Office
14,N349563096,43.5644039,-93.1635346,Myrtle Post Office
14,N349563112,43.7621774,-94.7144225,Trimont Post Office
14,N349563127,43.6539075,-94.7277831,Sherburn Post Office
14,N349563144,43.6955106,-94.3477458,Granada Post Office
14,N349563162,43.5594009,-94.7752616,Dunnell Post Office
14,N349563178,43.5260729,-93.0626967,London Post Office
14,N349563188,43.6495407,-93.2445101,Hayward Post Office
14,N349563201,43.7603867,-93.2057536,Hollandale Post Office
14,N349563220,43.8213488,-93.2674303,Geneva Post Office
14,N349563232,43.8038471,-93.4868831,Hartland Post Office
14,N349563243,43.5605114,-93.4224329,Twin Lakes Post Office
14,N349563260,43.6491238,-93.3668766,Albert Lea Post Office
